year,quarter,nhs_health_board,location,admission_type,episodes,length_of_episode,average_length_of_episode,stays,length_of_stay,average_length_of_stay,pre_post_covid
2020,2,Ayrshire and Arran,A210H,Elective Inpatients,182,432,2.373626374,185,734,3.967567568,post
2020,3,Ayrshire and Arran,A210H,Elective Inpatients,463,1250,2.699784017,475,1304,2.745263158,post
2020,4,Ayrshire and Arran,A210H,Elective Inpatients,473,989,2.090909091,485,1723,3.55257732,post
2021,1,Ayrshire and Arran,A210H,Elective Inpatients,207,518,2.502415459,210,785,3.738095238,post
2021,2,Ayrshire and Arran,A210H,Elective Inpatients,521,1255,2.408829175,530,1761,3.322641509,post
2021,3,Ayrshire and Arran,A210H,Elective Inpatients,369,896,2.428184282,380,1477,3.886842105,post
2021,4,Ayrshire and Arran,A210H,Elective Inpatients,548,1460,2.664233577,560,2255,4.026785714,post
2022,1,Ayrshire and Arran,A210H,Elective Inpatients,419,1233,2.942720764,425,1616,3.802352941,post
2022,2,Ayrshire and Arran,A210H,Elective Inpatients,541,1464,2.706099815,540,1766,3.27037037,post
2022,3,Ayrshire and Arran,A210H,Elective Inpatients,613,1708,2.7862969,621,2348,3.78099839,post
2017,3,Ayrshire and Arran,A111H,Elective Inpatients,859,2142,2.493597206,885,2955,3.338983051,pre
2017,4,Ayrshire and Arran,A111H,Elective Inpatients,741,1894,2.556005398,817,2642,3.23378213,pre
2018,1,Ayrshire and Arran,A111H,Elective Inpatients,640,1690,2.640625,701,2295,3.273894437,pre
2018,2,Ayrshire and Arran,A111H,Elective Inpatients,742,1891,2.54851752,790,2510,3.17721519,pre
2018,3,Ayrshire and Arran,A111H,Elective Inpatients,732,1556,2.12568306,790,2149,2.720253165,pre
2018,4,Ayrshire and Arran,A111H,Elective Inpatients,715,1919,2.683916084,776,3088,3.979381443,pre
2019,1,Ayrshire and Arran,A111H,Elective Inpatients,826,1639,1.984261501,876,2382,2.719178082,pre
2019,2,Ayrshire and Arran,A111H,Elective Inpatients,800,1588,1.985,857,2318,2.704784131,pre
2019,3,Ayrshire and Arran,A111H,Elective Inpatients,697,1672,2.398852224,770,2230,2.896103896,pre
2019,4,Ayrshire and Arran,A111H,Elective Inpatients,615,1748,2.842276423,668,2354,3.523952096,pre
2020,1,Ayrshire and Arran,A111H,Elective Inpatients,470,1234,2.625531915,512,1868,3.6484375,post
2020,2,Ayrshire and Arran,A111H,Elective Inpatients,120,336,2.8,130,502,3.861538462,post
2020,3,Ayrshire and Arran,A111H,Elective Inpatients,245,856,3.493877551,265,1265,4.773584906,post
2020,4,Ayrshire and Arran,A111H,Elective Inpatients,201,579,2.880597015,233,891,3.824034335,post
2021,1,Ayrshire and Arran,A111H,Elective Inpatients,105,340,3.238095238,115,531,4.617391304,post
2021,2,Ayrshire and Arran,A111H,Elective Inpatients,250,677,2.708,295,953,3.230508475,post
2021,3,Ayrshire and Arran,A111H,Elective Inpatients,193,608,3.150259067,245,1091,4.453061224,post
2021,4,Ayrshire and Arran,A111H,Elective Inpatients,155,546,3.522580645,175,711,4.062857143,post
2022,1,Ayrshire and Arran,A111H,Elective Inpatients,155,700,4.516129032,181,840,4.640883978,post
2022,2,Ayrshire and Arran,A111H,Elective Inpatients,255,840,3.294117647,286,1150,4.020979021,post
2022,3,Ayrshire and Arran,A111H,Elective Inpatients,324,882,2.722222222,381,1209,3.173228346,post
2017,3,Borders,B120H,Elective Inpatients,328,695,2.118902439,335,1000,2.985074627,pre
2017,4,Borders,B120H,Elective Inpatients,300,625,2.083333333,310,869,2.803225806,pre
2018,1,Borders,B120H,Elective Inpatients,197,317,1.609137056,195,513,2.630769231,pre
2018,2,Borders,B120H,Elective Inpatients,312,612,1.961538462,315,969,3.076190476,pre
2018,3,Borders,B120H,Elective Inpatients,332,618,1.861445783,341,902,2.64516129,pre
2018,4,Borders,B120H,Elective Inpatients,320,706,2.20625,325,981,3.018461538,pre
2019,1,Borders,B120H,Elective Inpatients,266,358,1.345864662,270,539,1.996296296,pre
2019,2,Borders,B120H,Elective Inpatients,325,591,1.818461538,327,786,2.403669725,pre
2019,3,Borders,B120H,Elective Inpatients,350,583,1.665714286,355,817,2.301408451,pre
2019,4,Borders,B120H,Elective Inpatients,306,530,1.732026144,305,678,2.22295082,pre
2020,1,Borders,B120H,Elective Inpatients,207,285,1.376811594,210,485,2.30952381,post
2020,2,Borders,B120H,Elective Inpatients,76,150,1.973684211,75,212,2.826666667,post
2020,3,Borders,B120H,Elective Inpatients,88,129,1.465909091,90,233,2.588888889,post
2020,4,Borders,B120H,Elective Inpatients,166,323,1.945783133,170,398,2.341176471,post
2021,1,Borders,B120H,Elective Inpatients,80,169,2.1125,75,218,2.906666667,post
2021,2,Borders,B120H,Elective Inpatients,183,306,1.672131148,190,636,3.347368421,post
2021,3,Borders,B120H,Elective Inpatients,157,308,1.961783439,155,451,2.909677419,post
2021,4,Borders,B120H,Elective Inpatients,184,398,2.163043478,185,604,3.264864865,post
2022,1,Borders,B120H,Elective Inpatients,93,177,1.903225806,95,275,2.894736842,post
2022,2,Borders,B120H,Elective Inpatients,107,203,1.897196262,110,325,2.954545455,post
2022,3,Borders,B120H,Elective Inpatients,115,202,1.756521739,117,268,2.290598291,post
2017,3,Borders,S08000016,Elective Inpatients,328,695,2.118902439,335,1000,2.985074627,pre
2017,4,Borders,S08000016,Elective Inpatients,300,625,2.083333333,310,869,2.803225806,pre
2018,1,Borders,S08000016,Elective Inpatients,197,317,1.609137056,195,513,2.630769231,pre
2018,2,Borders,S08000016,Elective Inpatients,312,612,1.961538462,315,969,3.076190476,pre
2018,3,Borders,S08000016,Elective Inpatients,332,618,1.861445783,341,902,2.64516129,pre
2018,4,Borders,S08000016,Elective Inpatients,320,706,2.20625,325,981,3.018461538,pre
2019,1,Borders,S08000016,Elective Inpatients,266,358,1.345864662,270,539,1.996296296,pre
2019,2,Borders,S08000016,Elective Inpatients,325,591,1.818461538,327,786,2.403669725,pre
2019,3,Borders,S08000016,Elective Inpatients,350,583,1.665714286,355,817,2.301408451,pre
2019,4,Borders,S08000016,Elective Inpatients,306,530,1.732026144,305,678,2.22295082,pre
2020,1,Borders,S08000016,Elective Inpatients,207,285,1.376811594,210,485,2.30952381,post
2020,2,Borders,S08000016,Elective Inpatients,76,150,1.973684211,75,212,2.826666667,post
2020,3,Borders,S08000016,Elective Inpatients,88,129,1.465909091,90,233,2.588888889,post
2020,4,Borders,S08000016,Elective Inpatients,166,323,1.945783133,170,398,2.341176471,post
2021,1,Borders,S08000016,Elective Inpatients,80,169,2.1125,75,218,2.906666667,post
2021,2,Borders,S08000016,Elective Inpatients,183,306,1.672131148,190,636,3.347368421,post
2021,3,Borders,S08000016,Elective Inpatients,157,308,1.961783439,155,451,2.909677419,post
2021,4,Borders,S08000016,Elective Inpatients,184,398,2.163043478,185,604,3.264864865,post
2022,1,Borders,S08000016,Elective Inpatients,93,177,1.903225806,95,275,2.894736842,post
2022,2,Borders,S08000016,Elective Inpatients,107,203,1.897196262,110,325,2.954545455,post
2022,3,Borders,S08000016,Elective Inpatients,115,202,1.756521739,117,268,2.290598291,post
2017,3,Dumfries and Galloway,Y146H,Elective Inpatients,634,1368,2.157728707,668,1825,2.732035928,pre
2017,4,Dumfries and Galloway,Y146H,Elective Inpatients,515,1020,1.980582524,566,1872,3.307420495,pre
2018,1,Dumfries and Galloway,Y146H,Elective Inpatients,565,1133,2.005309735,565,1669,2.953982301,pre
2018,2,Dumfries and Galloway,Y146H,Elective Inpatients,558,1217,2.181003584,617,2150,3.484602917,pre
2018,3,Dumfries and Galloway,Y146H,Elective Inpatients,484,1006,2.078512397,627,1534,2.446570973,pre
2018,4,Dumfries and Galloway,Y146H,Elective Inpatients,448,985,2.198660714,586,1509,2.575085324,pre
2019,1,Dumfries and Galloway,Y146H,Elective Inpatients,362,820,2.26519337,561,1541,2.74688057,pre
2019,2,Dumfries and Galloway,Y146H,Elective Inpatients,415,866,2.086746988,604,1670,2.764900662,pre
2019,3,Dumfries and Galloway,Y146H,Elective Inpatients,380,915,2.407894737,608,1766,2.904605263,pre
2019,4,Dumfries and Galloway,Y146H,Elective Inpatients,413,929,2.249394673,597,1551,2.59798995,pre
2020,1,Dumfries and Galloway,Y146H,Elective Inpatients,349,691,1.979942693,500,1261,2.522,post
2020,2,Dumfries and Galloway,Y146H,Elective Inpatients,136,170,1.25,180,492,2.733333333,post
2020,3,Dumfries and Galloway,Y146H,Elective Inpatients,273,341,1.249084249,422,950,2.251184834,post
2020,4,Dumfries and Galloway,Y146H,Elective Inpatients,276,309,1.119565217,486,1230,2.530864198,post
2021,1,Dumfries and Galloway,Y146H,Elective Inpatients,205,272,1.326829268,293,762,2.600682594,post
2021,2,Dumfries and Galloway,Y146H,Elective Inpatients,265,375,1.41509434,463,1225,2.645788337,post
2021,3,Dumfries and Galloway,Y146H,Elective Inpatients,164,222,1.353658537,296,738,2.493243243,post
2021,4,Dumfries and Galloway,Y146H,Elective Inpatients,190,222,1.168421053,341,913,2.677419355,post
2022,1,Dumfries and Galloway,Y146H,Elective Inpatients,243,281,1.156378601,359,1232,3.431754875,post
2022,2,Dumfries and Galloway,Y146H,Elective Inpatients,330,367,1.112121212,452,1138,2.517699115,post
2022,3,Dumfries and Galloway,Y146H,Elective Inpatients,307,418,1.361563518,425,1134,2.668235294,post
2017,3,Dumfries and Galloway,Y144H,Elective Inpatients,0,0,NA,5,5,1,pre
2018,2,Dumfries and Galloway,Y144H,Elective Inpatients,5,5,1,10,10,1,pre
2018,4,Dumfries and Galloway,Y144H,Elective Inpatients,0,10,NA,5,10,2,pre
2019,1,Dumfries and Galloway,Y144H,Elective Inpatients,0,0,NA,0,5,NA,pre
2019,2,Dumfries and Galloway,Y144H,Elective Inpatients,0,0,NA,5,7,1.4,pre
2019,4,Dumfries and Galloway,Y144H,Elective Inpatients,0,0,NA,0,0,NA,pre
2020,1,Dumfries and Galloway,Y144H,Elective Inpatients,5,5,1,10,5,0.5,post
2020,4,Dumfries and Galloway,Y144H,Elective Inpatients,5,5,1,5,5,1,post
2021,3,Dumfries and Galloway,Y144H,Elective Inpatients,0,0,NA,5,5,1,post
2022,1,Dumfries and Galloway,Y144H,Elective Inpatients,0,0,NA,0,0,NA,post
2022,3,Dumfries and Galloway,Y144H,Elective Inpatients,0,0,NA,0,5,NA,post
2017,3,Dumfries and Galloway,S08000017,Elective Inpatients,637,1396,2.191522763,674,1856,2.753709199,pre
2017,4,Dumfries and Galloway,S08000017,Elective Inpatients,515,1022,1.984466019,568,1875,3.301056338,pre
2018,1,Dumfries and Galloway,S08000017,Elective Inpatients,586,1178,2.010238908,587,1715,2.921635434,pre
2018,2,Dumfries and Galloway,S08000017,Elective Inpatients,571,1228,2.15061296,633,2168,3.424960506,pre
2018,3,Dumfries and Galloway,S08000017,Elective Inpatients,504,1065,2.113095238,648,1606,2.478395062,pre
2018,4,Dumfries and Galloway,S08000017,Elective Inpatients,479,1050,2.192066806,619,1595,2.576736672,pre
2019,1,Dumfries and Galloway,S08000017,Elective Inpatients,403,902,2.2382134,603,1625,2.694859038,pre
2019,2,Dumfries and Galloway,S08000017,Elective Inpatients,435,905,2.08045977,630,1728,2.742857143,pre
2019,3,Dumfries and Galloway,S08000017,Elective Inpatients,387,925,2.390180879,620,1780,2.870967742,pre
2019,4,Dumfries and Galloway,S08000017,Elective Inpatients,417,933,2.237410072,603,1558,2.583747927,pre
2020,1,Dumfries and Galloway,S08000017,Elective Inpatients,363,711,1.958677686,516,1283,2.486434109,post
2020,2,Dumfries and Galloway,S08000017,Elective Inpatients,136,170,1.25,180,492,2.733333333,post
2020,3,Dumfries and Galloway,S08000017,Elective Inpatients,288,359,1.246527778,438,979,2.235159817,post
2020,4,Dumfries and Galloway,S08000017,Elective Inpatients,293,327,1.116040956,503,1248,2.48111332,post
2021,1,Dumfries and Galloway,S08000017,Elective Inpatients,216,284,1.314814815,304,774,2.546052632,post
2021,2,Dumfries and Galloway,S08000017,Elective Inpatients,282,398,1.411347518,480,1250,2.604166667,post
2021,3,Dumfries and Galloway,S08000017,Elective Inpatients,171,235,1.374269006,305,753,2.468852459,post
2021,4,Dumfries and Galloway,S08000017,Elective Inpatients,195,228,1.169230769,349,925,2.650429799,post
2022,1,Dumfries and Galloway,S08000017,Elective Inpatients,255,295,1.156862745,371,1246,3.358490566,post
2022,2,Dumfries and Galloway,S08000017,Elective Inpatients,334,379,1.134730539,459,1163,2.533769063,post
2022,3,Dumfries and Galloway,S08000017,Elective Inpatients,313,424,1.354632588,432,1142,2.643518519,post
2017,3,Fife,S08000029,Elective Inpatients,1377,2906,2.110384895,1393,3787,2.718592965,pre
2017,4,Fife,S08000029,Elective Inpatients,1257,2841,2.260143198,1276,3635,2.848746082,pre
2018,1,Fife,S08000029,Elective Inpatients,1215,2290,1.884773663,1219,3030,2.48564397,pre
2018,2,Fife,S08000029,Elective Inpatients,1336,2715,2.032185629,1340,3589,2.678358209,pre
2018,3,Fife,S08000029,Elective Inpatients,1231,2432,1.975629569,1254,3573,2.849282297,pre
2018,4,Fife,S08000029,Elective Inpatients,1254,2683,2.139553429,1275,3820,2.996078431,pre
2019,1,Fife,S08000029,Elective Inpatients,1245,2372,1.905220884,1256,3430,2.73089172,pre
2019,2,Fife,S08000029,Elective Inpatients,1278,2190,1.713615023,1299,3470,2.671285604,pre
2019,3,Fife,S08000029,Elective Inpatients,1272,2249,1.768081761,1289,3169,2.458494957,pre
2019,4,Fife,S08000029,Elective Inpatients,1331,2586,1.942900075,1353,3708,2.740576497,pre
2020,1,Fife,S08000029,Elective Inpatients,1168,2130,1.823630137,1210,3356,2.773553719,post
2020,2,Fife,S08000029,Elective Inpatients,295,483,1.637288136,304,876,2.881578947,post
2020,3,Fife,S08000029,Elective Inpatients,813,1334,1.640836408,834,2088,2.503597122,post
2020,4,Fife,S08000029,Elective Inpatients,891,1732,1.943883277,908,2012,2.215859031,post
2021,1,Fife,S08000029,Elective Inpatients,543,1122,2.066298343,546,1277,2.338827839,post
2021,2,Fife,S08000029,Elective Inpatients,1075,1773,1.649302326,1094,2457,2.245886654,post
2021,3,Fife,S08000029,Elective Inpatients,1001,1652,1.65034965,1005,2196,2.185074627,post
2021,4,Fife,S08000029,Elective Inpatients,888,1436,1.617117117,915,2069,2.261202186,post
2022,1,Fife,S08000029,Elective Inpatients,817,1136,1.390452876,831,2186,2.630565584,post
2022,2,Fife,S08000029,Elective Inpatients,915,1447,1.581420765,934,2167,2.32012848,post
2022,3,Fife,S08000029,Elective Inpatients,920,1391,1.511956522,934,1965,2.10385439,post
2017,3,Fife,F805H,Elective Inpatients,155,154,0.993548387,160,171,1.06875,pre
2017,4,Fife,F805H,Elective Inpatients,124,99,0.798387097,135,172,1.274074074,pre
2018,1,Fife,F805H,Elective Inpatients,155,158,1.019354839,160,235,1.46875,pre
2018,2,Fife,F805H,Elective Inpatients,142,140,0.985915493,145,184,1.268965517,pre
2018,3,Fife,F805H,Elective Inpatients,110,118,1.072727273,117,153,1.307692308,pre
2018,4,Fife,F805H,Elective Inpatients,125,121,0.968,132,145,1.098484848,pre
2019,1,Fife,F805H,Elective Inpatients,137,141,1.02919708,142,185,1.302816901,pre
2019,2,Fife,F805H,Elective Inpatients,145,146,1.006896552,145,154,1.062068966,pre
2019,3,Fife,F805H,Elective Inpatients,130,141,1.084615385,140,170,1.214285714,pre
2019,4,Fife,F805H,Elective Inpatients,153,175,1.14379085,160,264,1.65,pre
2020,1,Fife,F805H,Elective Inpatients,130,123,0.946153846,135,229,1.696296296,post
2020,3,Fife,F805H,Elective Inpatients,70,68,0.971428571,80,98,1.225,post
2020,4,Fife,F805H,Elective Inpatients,115,110,0.956521739,116,120,1.034482759,post
2021,1,Fife,F805H,Elective Inpatients,90,92,1.022222222,92,110,1.195652174,post
2021,2,Fife,F805H,Elective Inpatients,145,124,0.855172414,149,186,1.248322148,post
2021,3,Fife,F805H,Elective Inpatients,115,111,0.965217391,116,116,1,post
2021,4,Fife,F805H,Elective Inpatients,100,92,0.92,104,114,1.096153846,post
2022,1,Fife,F805H,Elective Inpatients,103,93,0.902912621,106,113,1.066037736,post
2022,2,Fife,F805H,Elective Inpatients,116,95,0.818965517,119,103,0.865546218,post
2022,3,Fife,F805H,Elective Inpatients,119,106,0.890756303,120,114,0.95,post
2017,3,Fife,F704H,Elective Inpatients,1222,2744,2.245499182,1233,3608,2.926196269,pre
2017,4,Fife,F704H,Elective Inpatients,1131,2707,2.393457118,1141,3463,3.035056968,pre
2018,1,Fife,F704H,Elective Inpatients,1057,2060,1.948912015,1054,2723,2.583491461,pre
2018,2,Fife,F704H,Elective Inpatients,1192,2537,2.128355705,1192,3340,2.802013423,pre
2018,3,Fife,F704H,Elective Inpatients,1121,2301,2.052631579,1136,3407,2.999119718,pre
2018,4,Fife,F704H,Elective Inpatients,1129,2549,2.257750221,1142,3662,3.206654991,pre
2019,1,Fife,F704H,Elective Inpatients,1106,2206,1.994575045,1112,3220,2.895683453,pre
2019,2,Fife,F704H,Elective Inpatients,1132,2009,1.774734982,1150,3281,2.853043478,pre
2019,3,Fife,F704H,Elective Inpatients,1139,2095,1.839332748,1149,2986,2.598781549,pre
2019,4,Fife,F704H,Elective Inpatients,1176,2353,2.00085034,1192,3402,2.854026846,pre
2020,1,Fife,F704H,Elective Inpatients,1037,1973,1.902603664,1072,3093,2.885261194,post
2020,2,Fife,F704H,Elective Inpatients,291,439,1.508591065,298,819,2.748322148,post
2020,3,Fife,F704H,Elective Inpatients,739,1248,1.688768606,755,1974,2.614569536,post
2020,4,Fife,F704H,Elective Inpatients,780,1622,2.079487179,792,1892,2.388888889,post
2021,1,Fife,F704H,Elective Inpatients,455,1030,2.263736264,454,1167,2.570484581,post
2021,2,Fife,F704H,Elective Inpatients,930,1649,1.77311828,945,2271,2.403174603,post
2021,3,Fife,F704H,Elective Inpatients,885,1541,1.741242938,889,2080,2.339707537,post
2021,4,Fife,F704H,Elective Inpatients,785,1344,1.712101911,811,1955,2.410604192,post
2022,1,Fife,F704H,Elective Inpatients,714,1043,1.460784314,725,2073,2.859310345,post
2022,2,Fife,F704H,Elective Inpatients,799,1352,1.692115144,815,2064,2.532515337,post
2022,3,Fife,F704H,Elective Inpatients,801,1285,1.604244694,814,1851,2.273955774,post
2017,3,Forth Valley,V217H,Elective Inpatients,655,1245,1.900763359,660,2000,3.03030303,pre
2017,4,Forth Valley,V217H,Elective Inpatients,630,1280,2.031746032,640,2055,3.2109375,pre
2018,1,Forth Valley,V217H,Elective Inpatients,665,1256,1.888721805,665,1906,2.866165414,pre
2018,2,Forth Valley,V217H,Elective Inpatients,641,1336,2.08424337,651,2217,3.405529954,pre
2018,3,Forth Valley,V217H,Elective Inpatients,580,1170,2.017241379,575,1515,2.634782609,pre
2018,4,Forth Valley,V217H,Elective Inpatients,705,1430,2.028368794,715,2045,2.86013986,pre
2019,1,Forth Valley,V217H,Elective Inpatients,649,1283,1.976887519,650,1858,2.858461538,pre
2019,2,Forth Valley,V217H,Elective Inpatients,788,1284,1.629441624,800,1780,2.225,pre
2019,3,Forth Valley,V217H,Elective Inpatients,756,1345,1.779100529,762,1914,2.511811024,pre
2019,4,Forth Valley,V217H,Elective Inpatients,750,1249,1.665333333,760,1621,2.132894737,pre
2020,1,Forth Valley,V217H,Elective Inpatients,685,1050,1.532846715,705,1331,1.887943262,post
2020,2,Forth Valley,V217H,Elective Inpatients,157,268,1.707006369,160,402,2.5125,post
2020,3,Forth Valley,V217H,Elective Inpatients,500,897,1.794,495,1032,2.084848485,post
2020,4,Forth Valley,V217H,Elective Inpatients,625,1012,1.6192,640,1264,1.975,post
2021,1,Forth Valley,V217H,Elective Inpatients,390,669,1.715384615,390,751,1.925641026,post
2021,2,Forth Valley,V217H,Elective Inpatients,705,1328,1.883687943,710,1410,1.985915493,post
2021,3,Forth Valley,V217H,Elective Inpatients,580,1210,2.086206897,590,1438,2.437288136,post
