Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2020Q3,,S08000015,,S08000015,d,Elective Inpatients,,1231,4007,3.255077173,,1252,5241,4.186102236,
2020Q4,,S08000015,,S08000015,d,Elective Inpatients,,1265,3111,2.459288538,,1316,5350,4.065349544,
2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,1019,3055,2.998037291,,1023,4334,4.23655914,
2021Q2,,S08000015,,S08000015,d,Elective Inpatients,,1490,4068,2.730201342,,1541,5842,3.791044776,
2021Q3,,S08000015,,S08000015,d,Elective Inpatients,,1260,4039,3.205555556,,1317,6562,4.982536067,
2021Q4,,S08000015,,S08000015,d,Elective Inpatients,,1349,4013,2.974796145,,1378,5940,4.310595065,
2022Q1,,S08000015,,S08000015,d,Elective Inpatients,,1167,3733,3.198800343,,1193,4751,3.982397318,
2022Q2,,S08000015,,S08000015,d,Elective Inpatients,,1421,4164,2.930330753,,1441,6197,4.300485774,
2022Q3,p,S08000015,,S08000015,d,Elective Inpatients,,1609,4652,2.891236793,,1672,6840,4.090909091,
2017Q3,,S08000015,,S12000021,,Elective Inpatients,,915,2901,3.170491803,,917,3822,4.167938931,
2017Q4,,S08000015,,S12000021,,Elective Inpatients,,873,3119,3.572737686,,909,4316,4.748074807,
2018Q1,,S08000015,,S12000021,,Elective Inpatients,,824,2023,2.455097087,,846,2675,3.161938534,
2018Q2,,S08000015,,S12000021,,Elective Inpatients,,915,2801,3.061202186,,939,3642,3.878594249,
2018Q3,,S08000015,,S12000021,,Elective Inpatients,,853,2227,2.610785463,,885,2967,3.352542373,
2018Q4,,S08000015,,S12000021,,Elective Inpatients,,861,2283,2.651567944,,888,3841,4.32545045,
2019Q1,,S08000015,,S12000021,,Elective Inpatients,,897,2153,2.400222965,,902,2938,3.257206208,
2019Q2,,S08000015,,S12000021,,Elective Inpatients,,833,2187,2.62545018,,861,3202,3.718931475,
2019Q3,,S08000015,,S12000021,,Elective Inpatients,,842,2292,2.722090261,,864,3061,3.542824074,
2019Q4,,S08000015,,S12000021,,Elective Inpatients,,790,2296,2.906329114,,821,3355,4.086479903,
2020Q1,,S08000015,,S12000021,,Elective Inpatients,,756,2295,3.035714286,,774,2935,3.791989664,
2020Q2,,S08000015,,S12000021,,Elective Inpatients,,249,631,2.534136546,,253,946,3.739130435,
2020Q3,,S08000015,,S12000021,,Elective Inpatients,,457,1688,3.693654267,,465,2116,4.550537634,
2020Q4,,S08000015,,S12000021,,Elective Inpatients,,468,1323,2.826923077,,492,2143,4.355691057,
2021Q1,,S08000015,,S12000021,,Elective Inpatients,,413,1255,3.03874092,,415,1879,4.527710843,
2021Q2,,S08000015,,S12000021,,Elective Inpatients,,541,1716,3.171903882,,561,2406,4.288770053,
2021Q3,,S08000015,,S12000021,,Elective Inpatients,,473,1614,3.412262156,,497,2379,4.786720322,
2021Q4,,S08000015,,S12000021,,Elective Inpatients,,500,1688,3.376,,510,2389,4.684313725,
2022Q1,,S08000015,,S12000021,,Elective Inpatients,,432,1343,3.108796296,,435,1624,3.733333333,
2022Q2,,S08000015,,S12000021,,Elective Inpatients,,537,1685,3.137802607,,548,2483,4.531021898,
2022Q3,p,S08000015,,S12000021,,Elective Inpatients,,570,1628,2.856140351,,587,2374,4.044293015,
2017Q3,,S08000015,,S12000028,,Elective Inpatients,,786,2233,2.840966921,,794,2911,3.666246851,
2017Q4,,S08000015,,S12000028,,Elective Inpatients,,756,2515,3.326719577,,766,3252,4.245430809,
2018Q1,,S08000015,,S12000028,,Elective Inpatients,,680,1834,2.697058824,,703,2642,3.758179232,
2018Q2,,S08000015,,S12000028,,Elective Inpatients,,664,1914,2.88253012,,675,2895,4.288888889,
2018Q3,,S08000015,,S12000028,,Elective Inpatients,,653,1907,2.920367534,,670,2754,4.110447761,
2018Q4,,S08000015,,S12000028,,Elective Inpatients,,658,1881,2.858662614,,688,2778,4.037790698,
2019Q1,,S08000015,,S12000028,,Elective Inpatients,,640,2078,3.246875,,655,2674,4.082442748,
2019Q2,,S08000015,,S12000028,,Elective Inpatients,,698,2013,2.883954155,,708,3264,4.610169492,
2019Q3,,S08000015,,S12000028,,Elective Inpatients,,682,1961,2.875366569,,695,2636,3.792805755,
2019Q4,,S08000015,,S12000028,,Elective Inpatients,,634,2197,3.465299685,,630,2739,4.347619048,
2020Q1,,S08000015,,S12000028,,Elective Inpatients,,604,1634,2.705298013,,625,2576,4.1216,
2020Q2,,S08000015,,S12000028,,Elective Inpatients,,190,579,3.047368421,,190,1155,6.078947368,
2020Q3,,S08000015,,S12000028,,Elective Inpatients,,424,1222,2.882075472,,425,1667,3.922352941,
2020Q4,,S08000015,,S12000028,,Elective Inpatients,,396,807,2.037878788,,410,1671,4.075609756,
2021Q1,,S08000015,,S12000028,,Elective Inpatients,,331,921,2.782477341,,325,1068,3.286153846,
2021Q2,,S08000015,,S12000028,,Elective Inpatients,,470,1241,2.640425532,,485,1800,3.711340206,
2021Q3,,S08000015,,S12000028,,Elective Inpatients,,405,1341,3.311111111,,415,2541,6.122891566,
2021Q4,,S08000015,,S12000028,,Elective Inpatients,,442,1231,2.785067873,,450,1910,4.244444444,
2022Q1,,S08000015,,S12000028,,Elective Inpatients,,381,1332,3.496062992,,385,1570,4.077922078,
2022Q2,,S08000015,,S12000028,,Elective Inpatients,,427,1238,2.899297424,,425,1961,4.614117647,
2022Q3,p,S08000015,,S12000028,,Elective Inpatients,,517,1476,2.854932302,,532,2232,4.195488722,
2017Q3,,S08000016,,S08000016,d,Elective Inpatients,,674,1734,2.572700297,,672,2575,3.831845238,
2017Q4,,S08000016,,S08000016,d,Elective Inpatients,,685,1586,2.315328467,,685,2833,4.135766423,
2018Q1,,S08000016,,S08000016,d,Elective Inpatients,,604,1482,2.453642384,,595,2300,3.865546218,
2018Q2,,S08000016,,S08000016,d,Elective Inpatients,,657,1527,2.324200913,,649,2351,3.622496148,
2018Q3,,S08000016,,S08000016,d,Elective Inpatients,,705,1676,2.377304965,,707,2381,3.367751061,
2018Q4,,S08000016,,S08000016,d,Elective Inpatients,,724,1819,2.512430939,,721,2676,3.711511789,
2019Q1,,S08000016,,S08000016,d,Elective Inpatients,,663,1330,2.006033183,,665,2145,3.22556391,
2019Q2,,S08000016,,S08000016,d,Elective Inpatients,,687,2042,2.972343523,,687,2890,4.206695779,
2019Q3,,S08000016,,S08000016,d,Elective Inpatients,,700,1535,2.192857143,,700,2154,3.077142857,
2019Q4,,S08000016,,S08000016,d,Elective Inpatients,,669,1334,1.994020927,,655,2288,3.493129771,
2020Q1,,S08000016,,S08000016,d,Elective Inpatients,,578,1089,1.884083045,,580,1739,2.998275862,
2020Q2,,S08000016,,S08000016,d,Elective Inpatients,,206,597,2.898058252,,200,818,4.09,
2020Q3,,S08000016,,S08000016,d,Elective Inpatients,,316,689,2.180379747,,310,1216,3.922580645,
2020Q4,,S08000016,,S08000016,d,Elective Inpatients,,411,949,2.309002433,,405,1360,3.358024691,
2021Q1,,S08000016,,S08000016,d,Elective Inpatients,,300,800,2.666666667,,290,1274,4.393103448,
2021Q2,,S08000016,,S08000016,d,Elective Inpatients,,454,948,2.088105727,,455,1842,4.048351648,
2021Q3,,S08000016,,S08000016,d,Elective Inpatients,,402,958,2.383084577,,394,1504,3.817258883,
2021Q4,,S08000016,,S08000016,d,Elective Inpatients,,444,1076,2.423423423,,446,1836,4.116591928,
2022Q1,,S08000016,,S08000016,d,Elective Inpatients,,397,1008,2.539042821,,393,1483,3.773536896,
2022Q2,,S08000016,,S08000016,d,Elective Inpatients,,415,1001,2.412048193,,408,1444,3.539215686,
2022Q3,p,S08000016,,S08000016,d,Elective Inpatients,,405,1010,2.49382716,,405,1913,4.72345679,
2017Q3,,S08000016,,S12000026,,Elective Inpatients,,674,1734,2.572700297,,672,2575,3.831845238,
2017Q4,,S08000016,,S12000026,,Elective Inpatients,,685,1586,2.315328467,,685,2833,4.135766423,
2018Q1,,S08000016,,S12000026,,Elective Inpatients,,604,1482,2.453642384,,595,2300,3.865546218,
2018Q2,,S08000016,,S12000026,,Elective Inpatients,,657,1527,2.324200913,,649,2351,3.622496148,
2018Q3,,S08000016,,S12000026,,Elective Inpatients,,705,1676,2.377304965,,707,2381,3.367751061,
2018Q4,,S08000016,,S12000026,,Elective Inpatients,,724,1819,2.512430939,,721,2676,3.711511789,
2019Q1,,S08000016,,S12000026,,Elective Inpatients,,663,1330,2.006033183,,665,2145,3.22556391,
2019Q2,,S08000016,,S12000026,,Elective Inpatients,,687,2042,2.972343523,,687,2890,4.206695779,
2019Q3,,S08000016,,S12000026,,Elective Inpatients,,700,1535,2.192857143,,700,2154,3.077142857,
2019Q4,,S08000016,,S12000026,,Elective Inpatients,,669,1334,1.994020927,,655,2288,3.493129771,
2020Q1,,S08000016,,S12000026,,Elective Inpatients,,578,1089,1.884083045,,580,1739,2.998275862,
2020Q2,,S08000016,,S12000026,,Elective Inpatients,,206,597,2.898058252,,200,818,4.09,
2020Q3,,S08000016,,S12000026,,Elective Inpatients,,316,689,2.180379747,,310,1216,3.922580645,
2020Q4,,S08000016,,S12000026,,Elective Inpatients,,411,949,2.309002433,,405,1360,3.358024691,
2021Q1,,S08000016,,S12000026,,Elective Inpatients,,300,800,2.666666667,,290,1274,4.393103448,
2021Q2,,S08000016,,S12000026,,Elective Inpatients,,454,948,2.088105727,,455,1842,4.048351648,
2021Q3,,S08000016,,S12000026,,Elective Inpatients,,402,958,2.383084577,,394,1504,3.817258883,
2021Q4,,S08000016,,S12000026,,Elective Inpatients,,444,1076,2.423423423,,446,1836,4.116591928,
2022Q1,,S08000016,,S12000026,,Elective Inpatients,,397,1008,2.539042821,,393,1483,3.773536896,
2022Q2,,S08000016,,S12000026,,Elective Inpatients,,415,1001,2.412048193,,408,1444,3.539215686,
2022Q3,p,S08000016,,S12000026,,Elective Inpatients,,405,1010,2.49382716,,405,1913,4.72345679,
2017Q3,,S08000017,,S12000006,,Elective Inpatients,,1049,3123,2.977121068,,1087,4051,3.726770929,
2017Q4,,S08000017,,S12000006,,Elective Inpatients,,960,2545,2.651041667,,1003,4007,3.995014955,
2018Q1,,S08000017,,S12000006,,Elective Inpatients,,961,2576,2.680541103,,948,3901,4.114978903,
2018Q2,,S08000017,,S12000006,,Elective Inpatients,,978,2835,2.898773006,,1046,4386,4.193116635,
2018Q3,,S08000017,,S12000006,,Elective Inpatients,,954,2535,2.657232704,,1102,4120,3.738656987,
2018Q4,,S08000017,,S12000006,,Elective Inpatients,,934,2725,2.917558887,,1071,3931,3.670401494,
2019Q1,,S08000017,,S12000006,,Elective Inpatients,,841,2542,3.022592152,,1033,4047,3.917715392,
2019Q2,,S08000017,,S12000006,,Elective Inpatients,,854,2210,2.587822014,,1039,3706,3.566891242,
2019Q3,,S08000017,,S12000006,,Elective Inpatients,,774,2400,3.100775194,,1004,4038,4.021912351,
2019Q4,,S08000017,,S12000006,,Elective Inpatients,,807,2359,2.923172243,,996,4077,4.093373494,
2020Q1,,S08000017,,S12000006,,Elective Inpatients,,743,1915,2.577388964,,887,3265,3.680947012,
2020Q2,,S08000017,,S12000006,,Elective Inpatients,,290,831,2.865517241,,327,1565,4.785932722,
2020Q3,,S08000017,,S12000006,,Elective Inpatients,,545,1414,2.594495413,,693,2546,3.673881674,
2020Q4,,S08000017,,S12000006,,Elective Inpatients,,634,1678,2.646687697,,837,3235,3.864994026,
2021Q1,,S08000017,,S12000006,,Elective Inpatients,,563,1584,2.813499112,,637,2741,4.302982732,
2021Q2,,S08000017,,S12000006,,Elective Inpatients,,684,2303,3.366959064,,878,3916,4.460136674,
2021Q3,,S08000017,,S12000006,,Elective Inpatients,,535,1977,3.695327103,,654,2930,4.480122324,
2021Q4,,S08000017,,S12000006,,Elective Inpatients,,480,1279,2.664583333,,637,2904,4.558869702,
2022Q1,,S08000017,,S12000006,,Elective Inpatients,,531,1286,2.421845574,,638,2703,4.236677116,
2022Q2,,S08000017,,S12000006,,Elective Inpatients,,634,1573,2.481072555,,752,2819,3.748670213,
2022Q3,p,S08000017,,S12000006,,Elective Inpatients,,588,1637,2.784013605,,709,3039,4.286318759,
2017Q3,,S08000017,,S08000017,d,Elective Inpatients,,1049,3123,2.977121068,,1087,4051,3.726770929,
2017Q4,,S08000017,,S08000017,d,Elective Inpatients,,960,2545,2.651041667,,1003,4007,3.995014955,
2018Q1,,S08000017,,S08000017,d,Elective Inpatients,,961,2576,2.680541103,,948,3901,4.114978903,
2018Q2,,S08000017,,S08000017,d,Elective Inpatients,,978,2835,2.898773006,,1046,4386,4.193116635,
2018Q3,,S08000017,,S08000017,d,Elective Inpatients,,954,2535,2.657232704,,1102,4120,3.738656987,
2018Q4,,S08000017,,S08000017,d,Elective Inpatients,,934,2725,2.917558887,,1071,3931,3.670401494,
2019Q1,,S08000017,,S08000017,d,Elective Inpatients,,841,2542,3.022592152,,1033,4047,3.917715392,
2019Q2,,S08000017,,S08000017,d,Elective Inpatients,,854,2210,2.587822014,,1039,3706,3.566891242,
2019Q3,,S08000017,,S08000017,d,Elective Inpatients,,774,2400,3.100775194,,1004,4038,4.021912351,
2019Q4,,S08000017,,S08000017,d,Elective Inpatients,,807,2359,2.923172243,,996,4077,4.093373494,
2020Q1,,S08000017,,S08000017,d,Elective Inpatients,,743,1915,2.577388964,,887,3265,3.680947012,
2020Q2,,S08000017,,S08000017,d,Elective Inpatients,,290,831,2.865517241,,327,1565,4.785932722,
2020Q3,,S08000017,,S08000017,d,Elective Inpatients,,545,1414,2.594495413,,693,2546,3.673881674,
2020Q4,,S08000017,,S08000017,d,Elective Inpatients,,634,1678,2.646687697,,837,3235,3.864994026,
2021Q1,,S08000017,,S08000017,d,Elective Inpatients,,563,1584,2.813499112,,637,2741,4.302982732,
2021Q2,,S08000017,,S08000017,d,Elective Inpatients,,684,2303,3.366959064,,878,3916,4.460136674,
2021Q3,,S08000017,,S08000017,d,Elective Inpatients,,535,1977,3.695327103,,654,2930,4.480122324,
2021Q4,,S08000017,,S08000017,d,Elective Inpatients,,480,1279,2.664583333,,637,2904,4.558869702,
2022Q1,,S08000017,,S08000017,d,Elective Inpatients,,531,1286,2.421845574,,638,2703,4.236677116,
2022Q2,,S08000017,,S08000017,d,Elective Inpatients,,634,1573,2.481072555,,752,2819,3.748670213,
2022Q3,p,S08000017,,S08000017,d,Elective Inpatients,,588,1637,2.784013605,,709,3039,4.286318759,
2017Q3,,S08000029,,S12000047,,Elective Inpatients,,2259,4995,2.211155378,,2245,7238,3.224053452,
2017Q4,,S08000029,,S12000047,,Elective Inpatients,,2207,4996,2.263706389,,2220,7135,3.213963964,
2018Q1,,S08000029,,S12000047,,Elective Inpatients,,2137,4497,2.104351895,,2134,6567,3.077319588,
2018Q2,,S08000029,,S12000047,,Elective Inpatients,,2417,5287,2.187422424,,2406,8023,3.334580216,
2018Q3,,S08000029,,S12000047,,Elective Inpatients,,2095,4243,2.025298329,,2108,6831,3.240512334,
2018Q4,,S08000029,,S12000047,,Elective Inpatients,,2286,4803,2.101049869,,2297,7516,3.272094036,
2019Q1,,S08000029,,S12000047,,Elective Inpatients,,2238,4403,1.967381591,,2222,6462,2.908190819,
2019Q2,,S08000029,,S12000047,,Elective Inpatients,,2191,4366,1.992697398,,2198,6844,3.113739763,
2019Q3,,S08000029,,S12000047,,Elective Inpatients,,2120,4114,1.940566038,,2122,6859,3.232327992,
2019Q4,,S08000029,,S12000047,,Elective Inpatients,,2143,4238,1.977601493,,2165,7049,3.255889145,
2020Q1,,S08000029,,S12000047,,Elective Inpatients,,1910,3836,2.008376963,,1957,6665,3.405723045,
2020Q2,,S08000029,,S12000047,,Elective Inpatients,,654,1145,1.750764526,,656,2010,3.06402439,
2020Q3,,S08000029,,S12000047,,Elective Inpatients,,1390,2612,1.879136691,,1399,4503,3.218727663,
2020Q4,,S08000029,,S12000047,,Elective Inpatients,,1436,3225,2.245821727,,1465,4555,3.109215017,
2021Q1,,S08000029,,S12000047,,Elective Inpatients,,1073,2348,2.188257223,,1062,3162,2.97740113,
2021Q2,,S08000029,,S12000047,,Elective Inpatients,,1714,3303,1.927071179,,1710,4948,2.893567251,
2021Q3,,S08000029,,S12000047,,Elective Inpatients,,1570,3275,2.085987261,,1583,4759,3.006317119,
2021Q4,,S08000029,,S12000047,,Elective Inpatients,,1426,2628,1.842917251,,1449,4523,3.121463078,
2022Q1,,S08000029,,S12000047,,Elective Inpatients,,1353,2249,1.662232077,,1355,4211,3.107749077,
2022Q2,,S08000029,,S12000047,,Elective Inpatients,,1478,2798,1.893098782,,1485,4218,2.84040404,
2022Q3,p,S08000029,,S12000047,,Elective Inpatients,,1474,2784,1.888738128,,1484,4226,2.847708895,
2017Q3,,S08000029,,S08000029,d,Elective Inpatients,,2259,4995,2.211155378,,2245,7238,3.224053452,
2017Q4,,S08000029,,S08000029,d,Elective Inpatients,,2207,4996,2.263706389,,2220,7135,3.213963964,
2018Q1,,S08000029,,S08000029,d,Elective Inpatients,,2137,4497,2.104351895,,2134,6567,3.077319588,
2018Q2,,S08000029,,S08000029,d,Elective Inpatients,,2417,5287,2.187422424,,2406,8023,3.334580216,
2018Q3,,S08000029,,S08000029,d,Elective Inpatients,,2095,4243,2.025298329,,2108,6831,3.240512334,
2018Q4,,S08000029,,S08000029,d,Elective Inpatients,,2286,4803,2.101049869,,2297,7516,3.272094036,
2019Q1,,S08000029,,S08000029,d,Elective Inpatients,,2238,4403,1.967381591,,2222,6462,2.908190819,
2019Q2,,S08000029,,S08000029,d,Elective Inpatients,,2191,4366,1.992697398,,2198,6844,3.113739763,
2019Q3,,S08000029,,S08000029,d,Elective Inpatients,,2120,4114,1.940566038,,2122,6859,3.232327992,
2019Q4,,S08000029,,S08000029,d,Elective Inpatients,,2143,4238,1.977601493,,2165,7049,3.255889145,
2020Q1,,S08000029,,S08000029,d,Elective Inpatients,,1910,3836,2.008376963,,1957,6665,3.405723045,
2020Q2,,S08000029,,S08000029,d,Elective Inpatients,,654,1145,1.750764526,,656,2010,3.06402439,
2020Q3,,S08000029,,S08000029,d,Elective Inpatients,,1390,2612,1.879136691,,1399,4503,3.218727663,
2020Q4,,S08000029,,S08000029,d,Elective Inpatients,,1436,3225,2.245821727,,1465,4555,3.109215017,
2021Q1,,S08000029,,S08000029,d,Elective Inpatients,,1073,2348,2.188257223,,1062,3162,2.97740113,
2021Q2,,S08000029,,S08000029,d,Elective Inpatients,,1714,3303,1.927071179,,1710,4948,2.893567251,
2021Q3,,S08000029,,S08000029,d,Elective Inpatients,,1570,3275,2.085987261,,1583,4759,3.006317119,
2021Q4,,S08000029,,S08000029,d,Elective Inpatients,,1426,2628,1.842917251,,1449,4523,3.121463078,
2022Q1,,S08000029,,S08000029,d,Elective Inpatients,,1353,2249,1.662232077,,1355,4211,3.107749077,
2022Q2,,S08000029,,S08000029,d,Elective Inpatients,,1478,2798,1.893098782,,1485,4218,2.84040404,
2022Q3,p,S08000029,,S08000029,d,Elective Inpatients,,1474,2784,1.888738128,,1484,4226,2.847708895,
2017Q3,,S08000019,,S12000005,,Elective Inpatients,,277,826,2.981949458,,265,1316,4.966037736,
2017Q4,,S08000019,,S12000005,,Elective Inpatients,,255,792,3.105882353,,255,1043,4.090196078,
2018Q1,,S08000019,,S12000005,,Elective Inpatients,,238,823,3.457983193,,235,1003,4.268085106,
2018Q2,,S08000019,,S12000005,,Elective Inpatients,,291,794,2.728522337,,290,997,3.437931034,
2018Q3,,S08000019,,S12000005,,Elective Inpatients,,238,607,2.550420168,,235,866,3.685106383,
2018Q4,,S08000019,,S12000005,,Elective Inpatients,,270,608,2.251851852,,270,878,3.251851852,
2019Q1,,S08000019,,S12000005,,Elective Inpatients,,223,642,2.878923767,,220,736,3.345454545,
2019Q2,,S08000019,,S12000005,,Elective Inpatients,,280,725,2.589285714,,284,1093,3.848591549,
2019Q3,,S08000019,,S12000005,,Elective Inpatients,,298,822,2.758389262,,296,1022,3.452702703,
2019Q4,,S08000019,,S12000005,,Elective Inpatients,,233,566,2.429184549,,236,847,3.588983051,
2020Q1,,S08000019,,S12000005,,Elective Inpatients,,224,556,2.482142857,,221,683,3.090497738,
2020Q2,,S08000019,,S12000005,,Elective Inpatients,,67,145,2.164179104,,68,321,4.720588235,
2020Q3,,S08000019,,S12000005,,Elective Inpatients,,185,381,2.059459459,,180,456,2.533333333,
2020Q4,,S08000019,,S12000005,,Elective Inpatients,,198,615,3.106060606,,198,664,3.353535354,
2021Q1,,S08000019,,S12000005,,Elective Inpatients,,136,468,3.441176471,,133,512,3.84962406,
2021Q2,,S08000019,,S12000005,,Elective Inpatients,,221,610,2.760180995,,221,1034,4.678733032,
2021Q3,,S08000019,,S12000005,,Elective Inpatients,,199,618,3.105527638,,200,763,3.815,
2021Q4,,S08000019,,S12000005,,Elective Inpatients,,183,336,1.836065574,,187,1003,5.363636364,
2022Q1,,S08000019,,S12000005,,Elective Inpatients,,145,464,3.2,,142,594,4.183098592,
2022Q2,,S08000019,,S12000005,,Elective Inpatients,,190,523,2.752631579,,186,827,4.446236559,
2022Q3,p,S08000019,,S12000005,,Elective Inpatients,,200,452,2.26,,206,793,3.849514563,
2017Q3,,S08000019,,S12000014,,Elective Inpatients,,706,1667,2.361189802,,701,2471,3.524964337,
2017Q4,,S08000019,,S12000014,,Elective Inpatients,,771,2114,2.741893645,,767,3064,3.994784876,
2018Q1,,S08000019,,S12000014,,Elective Inpatients,,788,2196,2.78680203,,772,2874,3.722797927,
2018Q2,,S08000019,,S12000014,,Elective Inpatients,,786,2307,2.935114504,,780,3415,4.378205128,
2018Q3,,S08000019,,S12000014,,Elective Inpatients,,743,2249,3.0269179,,742,2897,3.904312668,
2018Q4,,S08000019,,S12000014,,Elective Inpatients,,783,1819,2.32311622,,772,2490,3.225388601,
2019Q1,,S08000019,,S12000014,,Elective Inpatients,,784,2314,2.951530612,,780,3338,4.279487179,
2019Q2,,S08000019,,S12000014,,Elective Inpatients,,834,1914,2.294964029,,825,2728,3.306666667,
2019Q3,,S08000019,,S12000014,,Elective Inpatients,,744,1656,2.225806452,,749,2541,3.392523364,
2019Q4,,S08000019,,S12000014,,Elective Inpatients,,740,1886,2.548648649,,746,2623,3.516085791,
2020Q1,,S08000019,,S12000014,,Elective Inpatients,,725,1877,2.588965517,,730,3047,4.173972603,
2020Q2,,S08000019,,S12000014,,Elective Inpatients,,231,786,3.402597403,,224,1202,5.366071429,
2020Q3,,S08000019,,S12000014,,Elective Inpatients,,498,1350,2.710843373,,491,2023,4.120162933,
2020Q4,,S08000019,,S12000014,,Elective Inpatients,,572,1375,2.403846154,,582,2000,3.436426117,
2021Q1,,S08000019,,S12000014,,Elective Inpatients,,469,1392,2.968017058,,468,1791,3.826923077,
2021Q2,,S08000019,,S12000014,,Elective Inpatients,,667,1584,2.374812594,,666,2203,3.307807808,
2021Q3,,S08000019,,S12000014,,Elective Inpatients,,574,1620,2.822299652,,569,2210,3.88400703,
2021Q4,,S08000019,,S12000014,,Elective Inpatients,,555,1292,2.327927928,,556,1811,3.257194245,
2022Q1,,S08000019,,S12000014,,Elective Inpatients,,502,1283,2.555776892,,496,1862,3.754032258,
2022Q2,,S08000019,,S12000014,,Elective Inpatients,,577,1460,2.530329289,,581,1665,2.865748709,
2022Q3,p,S08000019,,S12000014,,Elective Inpatients,,676,1914,2.831360947,,671,2257,3.363636364,
2017Q3,,S08000019,,S08000019,d,Elective Inpatients,,1418,3594,2.534555712,,1400,5371,3.836428571,
2017Q4,,S08000019,,S08000019,d,Elective Inpatients,,1470,3990,2.714285714,,1464,5677,3.87773224,
2018Q1,,S08000019,,S08000019,d,Elective Inpatients,,1442,4182,2.900138696,,1422,5348,3.760900141,
2018Q2,,S08000019,,S08000019,d,Elective Inpatients,,1466,4159,2.836971351,,1449,5770,3.982056591,
